ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YLR051C,FCF2,-0.047454363,-0.053515108,0.006060745,Faf1p Copurifying Factor,Essential nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon
YKL021C,MAK11,-0.047181479,-0.05485896,0.007677481,MAintenance of Killer,"Protein involved in an early, nucleolar step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats"
YJR072C,NPA3,-0.044489844,-0.086149527,0.041659683,Nucleolar Preribosomal Associated,Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kinase complex; human homolog XAB1 interacts with human RNA polymerase II
YPL228W,CET1,-0.042808995,-0.066231668,0.023422673,Capping Enzyme Triphosphatase,"Beta (RNA 5'-triphosphatase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CEG1, a guanylyltransferase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide"
YMR061W,RNA14,-0.042526531,,0.042526531,RNA synthesis,"Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; bridges interaction between Rna15p and Hrp1p in the CF I complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping"
YDR238C,SEC26,-0.040540295,,0.040540295,SECretory,"Essential beta-coat protein of the COPI coatomer, involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)"
YOR151C,RPB2,-0.039411768,-0.031358768,0.008053,RNA Polymerase B,"RNA polymerase II second largest subunit B150, part of central core; similar to bacterial beta subunit"
YBR080C,SEC18,-0.03846128,-0.099802457,0.061341177,SECretory,"ATPase required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian NSF"
YKL012W,PRP40,-0.0336746,-0.048055132,0.014380532,Pre-mRNA Processing,"U1 snRNP protein involved in splicing, interacts with the branchpoint-binding protein during the formation of the second commitment complex"
YEL034W,HYP2,-0.032163464,-0.010322079,0.021841384,HYPusine-containing protein,Translation elongation factor eIF-5A that may function in translation initiation; similar to and functionally redundant with Anb1p; structural homolog of bacterial EF-P; undergoes an essential hypusination modification
YKL082C,RRP14,-0.032001283,-0.039515957,0.007514675,Ribosomal RNA Processing,"Essential protein, constituent of 66S pre-ribosomal particles; interacts with proteins involved in ribosomal biogenesis and cell polarity; member of the SURF-6 family"
YER133W,GLC7,-0.031552806,0.013625655,0.045178461,GLyCogen,"Type 1 serine/threonine protein phosphatase catalytic subunit, involved in many processes (eg: glycogen metabolism, sporulation, mitosis); accumulates at mating projections by interaction with Afr1p; interacts with many regulatory subunits"
YOR204W,DED1,-0.031240066,-0.006763317,0.024476749,DEaD-box protein,"ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility"
YEL035C,UTR5,-0.030469218,-0.005890289,0.024578929,#N/A,#N/A
YJL076W,NET1,-0.029176806,-0.027079711,0.002097095,Nucleolar silencing Establishing factor and Telophase regulator,"Core subunit of the RENT complex, which is a complex involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure"
YLR163C,MAS1,-0.029046807,-0.047787046,0.018740239,Mitochondrial ASsembly,"Smaller subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins"
YMR309C,NIP1,-0.027904883,-0.018768356,0.009136527,Nuclear ImPort,"eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3), involved in the assembly of preinitiation complex and start codon selection"
YPL255W,BBP1,-0.026476249,-0.020008326,0.006467923,Bfr1p Binding Protein,"Protein required for the spindle pole body (SPB) duplication, localized at the central plaque periphery; forms a complex with a nuclear envelope protein Mps2p and SPB components Spc29p and Kar1p; required for mitotic functions of Cdc5p"
YJR046W,TAH11,-0.026121475,-0.031627347,0.005505872,Topo-A Hypersensitive,"DNA replication licensing factor, required for pre-replication complex assembly"
YJR045C,SSC1,-0.025880515,-0.033598203,0.007717688,Stress-Seventy subfamily C,"Hsp70 family ATPase, constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease"
YDR082W,STN1,-0.02583676,-0.027096693,0.001259932,Suppressor of cdc ThirteeN,"Telomere end-binding and capping protein, plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping"
YLR166C,SEC10,-0.02576899,-0.055562235,0.029793246,SECretory,"Essential 100kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis"
YER165W,PAB1,-0.024948889,-0.013514911,0.011433978,Poly(A) Binding protein,"Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G"
YMR013C,SEC59,-0.024139409,-0.032549815,0.008410406,SECretory,"Dolichol kinase, catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation"
YML064C,TEM1,-0.023565615,-0.037057793,0.013492178,TErmination of M phase,GTP-binding protein of the ras superfamily involved in termination of M-phase; controls actomyosin and septin dynamics during cytokinesis
YPR104C,FHL1,-0.023266794,-0.01142677,0.011840024,Fork Head-Like,Regulator of ribosomal protein (RP) transcription; has forkhead associated domain that binds phosphorylated proteins; recruits coactivator Ifh1p or corepressor Crf1p to RP gene promoters; also has forkhead DNA-binding domain though in vitro DNA binding assays give inconsistent results; computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p motifs at others; suppresses RNA pol III and splicing factor prp4 mutants
YDR468C,TLG1,-0.022122314,-0.013927966,0.008194348,T-snare affecting a Late Golgi compartment,Essential t-SNARE that forms a complex with Tlg2p and Vti1p and mediates fusion of endosome-derived vesicles with the late Golgi; binds the docking complex VFT (Vps fifty-three) through interaction with Vps51p
YLR397C,AFG2,-0.021519446,-0.03227916,0.010759714,ATPase Family Gene,"ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex; is essential for pre-60S maturation and release of several preribosome maturation factors; may be involved in degradation of aberrant mRNAs"
YDR288W,NSE3,-0.021416081,-0.013106487,0.008309593,Non SMC Element,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
YBL023C,MCM2,-0.021079536,-0.004283427,0.016796109,MiniChromosome Maintenance,Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex
YER013W,PRP22,-0.021076919,0.009112801,0.03018972,Pre-mRNA Processing,"DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes"
YDL055C,PSA1,-0.020978756,-0.009724977,0.011253779,0,"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure"
YGL245W,GUS1,-0.020084003,-0.010296956,0.009787047,GlUtamyl-tRNA Synthetase,"Glutamyl-tRNA synthetase (GluRS), forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm"
YML025C,YML6,-0.019656879,-0.025703818,0.006046939,0,"Mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins"
YPR016C,TIF6,-0.018525032,-0.003010443,0.01551459,Translation Initiation Factor,"Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits"
YOR340C,RPA43,-0.018447214,-0.000474252,0.017972962,RNA Polymerase A,RNA polymerase I subunit A43
YJL125C,GCD14,-0.018447031,-0.048687404,0.030240373,General Control Nonderepressible,"Subunit of tRNA (1-methyladenosine) methyltransferase, with Gcd10p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression"
YLR229C,CDC42,-0.018140875,0.000134587,0.018275462,Cell Division Cycle,"Small rho-like GTPase, essential for establishment and maintenance of cell polarity; mutants have defects in the organization of actin and septins"
YNL006W,LST8,-0.017607232,0.028421627,0.046028858,Lethal with Sec Thirteen,Protein required for the transport of amino acid permease Gap1p from the Golgi to the cell surface; component of the TOR signaling pathway; associates with both Tor1p and Tor2p; contains a WD-repeat
YPR137W,RRP9,-0.017493497,0.005706587,0.023200084,Ribosomal RNA Processing,"Protein involved in pre-rRNA processing, associated with U3 snRNP; component of small ribosomal subunit (SSU) processosome; ortholog of the human U3-55k protein"
YOR060C,SLD7,-0.017273021,-0.008346037,0.008926984,Synthetic Lethality with Dpb11-24,Protein with a role in chromosomal DNA replication; interacts with Sld3p and reduces its affinity for Cdc45p; deletion mutant has aberrant mitochondria
YPL143W,RPL33A,-0.016859483,-0.008382645,0.008476839,Ribosomal Protein of the Large subunit,"N-terminally acetylated ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Bp and has similarity to rat L35a; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable"
YBL041W,PRE7,-0.016699683,0.013992652,0.030692335,PRoteinase yscE,Beta 6 subunit of the 20S proteasome
YDR054C,CDC34,-0.016494694,-0.009508261,0.006986433,Cell Division Cycle,"Ubiquitin-conjugating enzyme (E2) and catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation"
YDR390C,UBA2,-0.016187847,-0.009083734,0.007104113,UBiquitin Activating,"Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"
YBR070C,ALG14,-0.016169245,-0.013160458,0.003008787,Asparagine Linked Glycosylation,Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases
YPR103W,PRE2,-0.015799922,-0.018430787,0.002630866,PRoteinase yscE,"Beta 5 subunit of the 20S proteasome, responsible for the chymotryptic activity of the proteasome"
YER172C,BRR2,-0.015300337,-0.012441891,0.002858446,Bad Response to Refrigeration,RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD
YGL030W,RPL30,-0.015235117,-0.011898134,0.003336983,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L30 ribosomal protein; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript"
YGL122C,NAB2,-0.014271506,0.019974162,0.034245668,Nuclear polyAdenylated RNA-Binding,Nuclear polyadenylated RNA-binding protein required for nuclear mRNA export and poly(A) tail length control; binds nuclear pore protein Mlp1p; autoregulates mRNA levels; related to human hnRNPs; nuclear localization sequence binds Kap104p
YJL014W,CCT3,-0.014238888,-0.003213795,0.011025093,Chaperonin Containing TCP-1,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
YGR277C,CAB4,-0.013878094,-0.000934044,0.01294405,Coenzyme A Biosynthesis,"Probable pantetheine-phosphate adenylyltransferase (PPAT), which catalyzes the fourth step in the biosynthesis of coenzyme A from pantothenate; null mutant lethality is complemented by E. coli coaD (encoding PPAT); widely conserved"
YDR449C,UTP6,-0.013856318,,0.013856318,U Three Protein,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
YNR011C,PRP2,-0.013726291,-0.00271946,0.011006831,Pre-mRNA Processing,"RNA-dependent ATPase in the DEAH-box family, required for activation of the spliceosome before the first transesterification step in RNA splicing; orthologous to human protein DHX16"
YBL092W,RPL32,-0.013618261,-0.001210356,0.012407905,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein; overexpression disrupts telomeric silencing"
YIL126W,STH1,-0.01357623,-0.023459715,0.009883484,SNF Two Homolog,ATPase component of the RSC chromatin remodeling complex; required for expression of early meiotic genes; essential helicase-related protein homologous to Snf2p
YOR217W,RFC1,-0.013506003,-0.001351075,0.012154928,Replication Factor C,"Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon"
YDL102W,POL3,-0.012955395,-0.004362731,0.008592664,POLymerase,"Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis, intragenic recombination, repair of double strand DNA breaks, and DNA replication during nucleotide excision repair (NER)"
YLR323C,CWC24,-0.012912221,7.09E-06,0.012919313,Complexed With Cef1p,"Spliceosome assembly factor, essential for the first step of splicing; component of the pre-catalytic spliceosome complex containing Cef1p; has similarity to S. pombe Cwf24p"
YDL028C,MPS1,-0.01258172,-0.013058578,0.000476857,MonoPolar Spindle,"Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, and checkpoint protein Mad1p"
YIL147C,SLN1,-0.012339502,-0.00206497,0.010274532,Synthetic Lethal of N-end rule,"Histidine kinase osmosensor that regulates a MAP kinase cascade; transmembrane protein with an intracellular kinase domain that signals to Ypd1p and Ssk1p, thereby forming a phosphorelay system similar to bacterial two-component regulators"
YEL019C,MMS21,-0.011925812,-0.003810464,0.008115348,Methyl MethaneSulfonate sensitivity,SUMO ligase and component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; mutants are sensitive to methyl methanesulfonate and show increased spontaneous mutation and mitotic recombination
YOR122C,PFY1,-0.011799439,-0.004252269,0.00754717,ProFilin of Yeast,"Profilin, binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress"
YHR065C,RRP3,-0.011536789,-0.019602803,0.008066014,Ribosomal RNA Processing,"Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity"
YMR079W,SEC14,-0.011358302,0.017624416,0.028982718,SECretory,"Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which regulate intracellular transport and UPR; functionally homologous to mammalian PITPs"
YOR119C,RIO1,-0.011275656,-0.00481479,0.006460866,RIght Open reading frame,Essential serine kinase involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA
YKL060C,FBA1,-0.011254072,-0.019488456,0.008234384,FBA1,"Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress"
YMR277W,FCP1,-0.011228793,-0.013499339,0.002270546,tfiiF-associating component of Ctd Phosphatase,"Carboxy-terminal domain (CTD) phosphatase, essential for dephosphorylation of the repeated C-terminal domain of the RNA polymerase II large subunit (Rpo21p)"
YIL004C,BET1,-0.011227207,0.001120783,0.01234799,Blocked Early in Transport,Type II membrane protein required for vesicular transport between the endoplasmic reticulum and Golgi complex; v-SNARE with similarity to synaptobrevins
YOR074C,CDC21,-0.011101645,-0.007106897,0.003994748,Cell Division Cycle,"Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S"
YFL005W,SEC4,-0.011057321,0.001116339,0.01217366,SECretory,Rab family GTPase essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane
YHR118C,ORC6,-0.010815553,-0.00203073,0.008784823,Origin Recognition Complex,"Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; phosphorylated by Cdc28p"
YNL282W,POP3,-0.010778858,-0.007813205,0.002965653,Processing Of Precursor RNAs,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
YJR057W,CDC8,-0.010635028,-0.001076594,0.009558434,Cell Division Cycle,"Thymidylate and uridylate kinase, functions in de novo biosynthesis of pyrimidine deoxyribonucleotides; converts dTMP to dTDP and dUMP to dUTP; essential for mitotic and meiotic DNA replication; homologous to S. pombe Tmp1p"
YJL072C,PSF2,-0.010119801,-0.006978802,0.003140999,Partner of Sld Five,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YIR015W,RPR2,-0.010056401,0.001607004,0.011663405,RNase P Ribonucleoprotein,"Subunit of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; not shared between RNase MRP and RNase P, in contrast to all other RNase P protein subunits"
YJL026W,RNR2,-0.010015796,-0.004327511,0.005688285,RiboNucleotide Reductase,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits"
YGR046W,TAM41,-0.009932343,0.000609252,0.010541596,Translocator Assembly and Maintenance 41,Mitochondrial protein involved in protein import into the mitochondrial matrix; maintains the functional integrity of the TIM23 protein translocator complex; viability of null mutant is strain-dependent; mRNA is targeted to the bud
YDR365C,ESF1,-0.009921969,-0.000594289,0.00932768,Eighteen S rRNA Factor,Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels
YBR160W,CDC28,-0.009648881,-0.012140398,0.002491517,Cell Division Cycle,Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates; involved in modulating membrane trafficking dynamics
YPR175W,DPB2,-0.009620035,-0.008126242,0.001493794,DNA Polymerase B (II) subunit,"Second largest subunit of DNA polymerase II (DNA polymerase epsilon), required for normal yeast chromosomal replication; expression peaks at the G1/S phase boundary; potential Cdc28p substrate"
YOR294W,RRS1,-0.009514739,-0.007397124,0.002117614,Regulator of Ribosome Synthesis,"Essential protein that binds ribosomal protein L11; required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; localizes to the nucleolus and in foci along nuclear periphery; cooperates with Ebp2p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering; mouse homolog shows altered expression in Huntington's disease model mice"
YHR024C,MAS2,-0.009408272,-0.009598415,0.000190143,Mitochondrial ASsembly,"Larger subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins"
YDR041W,RSM10,-0.009292448,-0.009458345,0.000165898,Ribosomal Small subunit of Mitochondria,"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins"
YPL126W,NAN1,-0.009075891,-0.0153753,0.00629941,Net1 Associated Nuclear protein,"U3 snoRNP protein, component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA"
YLR105C,SEN2,-0.008955386,-0.006612637,0.002342748,Splicing ENdonuclease,"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen2p contains the active site for tRNA 5' splice site cleavage and has similarity to Sen34p and to Archaeal tRNA splicing endonuclease"
YBR257W,POP4,-0.008830322,-0.007916628,0.000913694,Processing Of Precursor RNAs,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; binds to the RPR1 RNA subunit in RNase P"
YLR075W,RPL10,-0.00862565,-0.002192992,0.006432658,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family"
YMR134W,ERG29,-0.008608764,-0.007568651,0.001040112,#N/A,#N/A
YNL088W,TOP2,-0.008560714,-0.010949212,0.002388497,TOPoisomerase,"Topoisomerase II, relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis"
YPR010C,RPA135,-0.008483449,-0.003674332,0.004809117,RNA Polymerase A,RNA polymerase I second largest subunit A135
YLR195C,NMT1,-0.008463501,0.004279724,0.012743226,N-Myristoyl Transferase,"N-myristoyl transferase, catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction"
YLR115W,CFT2,-0.008460712,-0.008084182,0.000376529,Cleavage Factor Two,"Subunit of the mRNA cleavage and polyadenlylation factor (CPF); required for pre-mRNA cleavage, polyadenylation and poly(A) site recognition, 43% similarity with the mammalian CPSF-100 protein."
YNL267W,PIK1,-0.00845351,-0.002481145,0.005972364,Phosphatidyl Inositol Kinase,"Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4,5-biphosphate; may control cytokinesis through the actin cytoskeleton"
YDR091C,RLI1,-0.008447165,-0.002768503,0.005678662,RNase L Inhibitor,Essential iron-sulfur protein required for ribosome biogenesis and translation initiation and termination; facilitates binding of a multifactor complex (MFC) of initiation factors to the small ribosomal subunit; predicted ABC family ATPase
YPL237W,SUI3,-0.008439449,-0.010403595,0.001964145,SUppressor of Initiator codon,"Beta subunit of the translation initiation factor eIF2, involved in the identification of the start codon; proposed to be involved in mRNA binding"
YGL225W,VRG4,-0.008421123,-0.00885801,0.000436887,Vandate Resistance Glycosylation,Golgi GDP-mannose transporter; regulates Golgi function and glycosylation in Golgi
YMR288W,HSH155,-0.00841562,-0.006469585,0.001946035,Human Sap Homolog,U2-snRNP associated splicing factor that forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; similarity to the mammalian U2 snRNP-associated splicing factor SAP155
YDR002W,YRB1,-0.008147753,-0.014037745,0.005889992,Yeast Ran Binder,"Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1"
YDR308C,SRB7,-0.008138589,-0.007222712,0.000915877,Suppressor of RNA polymerase B,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; target of the global repressor Tup1p
YFL008W,SMC1,-0.008105698,-0.004738447,0.003367252,Stability of MiniChromosomes,"Subunit of the multiprotein cohesin complex, essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
YGL142C,GPI10,-0.008067154,0.000532937,0.008600091,GlycosylPhosphatidylInositol anchor biosynthesis,"Integral membrane protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the GPI core structure; human PIG-Bp is a functional homolog"
